account_id,customer_id,account_type,open_date,status
ACC0054,CUST030,CHECKING,2023-02-07,CLOSED
ACC0055,CUST030,SAVINGS,2023-02-07,CLOSED
ACC0056,CUST031,CREDIT,2023-03-07,ACTIVE
ACC0057,CUST032,CREDIT,2022-04-06,ACTIVE
ACC0058,CUST032,CHECKING,2022-03-05,ACTIVE
ACC0059,CUST033,CHECKING,2022-06-28,CLOSED
ACC0060,CUST033,SAVINGS,2022-08-30,ACTIVE
ACC0061,CUST034,CHECKING,2023-09-09,ACTIVE
ACC0062,CUST034,SAVINGS,2023-06-05,CLOSED
ACC0063,CUST035,CHECKING,2023-05-20,CLOSED
ACC0064,CUST036,CHECKING,2021-04-04,ACTIVE
ACC0065,CUST036,CREDIT,2021-03-31,CLOSED
ACC0066,CUST037,SAVINGS,2022-05-03,CLOSED
ACC0067,CUST037,SAVINGS,2022-07-16,CLOSED
ACC0068,CUST038,CREDIT,2023-07-13,ACTIVE
ACC0069,CUST038,CHECKING,2023-07-04,ACTIVE
ACC0070,CUST038,CREDIT,2023-07-04,ACTIVE
ACC0071,CUST039,CREDIT,2023-04-04,CLOSED
ACC0072,CUST040,SAVINGS,2021-12-22,ACTIVE
ACC0073,CUST040,SAVINGS,2022-01-09,ACTIVE
ACC0074,CUST040,SAVINGS,2021-11-02,CLOSED
ACC0075,CUST041,CREDIT,2021-03-13,ACTIVE
ACC0076,CUST042,SAVINGS,2023-02-28,CLOSED
ACC0077,CUST042,CREDIT,2023-04-01,ACTIVE
ACC0078,CUST043,SAVINGS,2023-08-14,CLOSED
ACC0079,CUST043,CREDIT,2023-08-02,CLOSED
ACC0080,CUST043,SAVINGS,2023-09-08,CLOSED
ACC0081,CUST044,CHECKING,2022-10-10,CLOSED
ACC0082,CUST044,CREDIT,2022-11-03,ACTIVE
ACC0083,CUST044,CREDIT,2022-11-27,CLOSED
ACC0084,CUST045,CREDIT,2023-02-20,CLOSED
ACC0085,CUST045,SAVINGS,2023-03-18,CLOSED
ACC0086,CUST046,CREDIT,2023-10-21,CLOSED
ACC0087,CUST046,SAVINGS,2023-09-24,CLOSED
ACC0088,CUST046,CREDIT,2023-08-26,CLOSED
ACC0089,CUST047,CHECKING,2022-08-08,ACTIVE
ACC0090,CUST047,SAVINGS,2022-07-20,CLOSED
ACC0091,CUST047,CHECKING,2022-08-20,ACTIVE
ACC0092,CUST048,SAVINGS,2023-07-17,ACTIVE
ACC0093,CUST048,CHECKING,2023-06-22,ACTIVE
ACC0094,CUST048,CHECKING,2023-08-18,ACTIVE
ACC0095,CUST049,SAVINGS,2021-11-23,ACTIVE
ACC0096,CUST049,CREDIT,2021-12-02,CLOSED
ACC0097,CUST050,SAVINGS,2023-02-20,ACTIVE
ACC0098,CUST050,CREDIT,2023-04-18,ACTIVE
ACC0099,CUST051,SAVINGS,2023-03-24,ACTIVE
ACC0100,CUST052,CREDIT,2023-10-26,ACTIVE
ACC0101,CUST052,CREDIT,2023-09-28,ACTIVE
ACC0102,CUST052,SAVINGS,2023-09-14,CLOSED
ACC0103,CUST053,CREDIT,2022-09-04,CLOSED
ACC0104,CUST053,SAVINGS,2022-09-11,CLOSED
ACC0105,CUST053,CREDIT,2022-08-21,ACTIVE
ACC0106,CUST054,SAVINGS,2023-10-06,CLOSED
ACC0107,CUST054,CHECKING,2023-10-30,CLOSED
ACC0108,CUST054,CREDIT,2023-10-11,ACTIVE
ACC0109,CUST055,SAVINGS,2022-02-22,CLOSED
ACC0110,CUST055,CHECKING,2022-03-19,CLOSED
ACC0111,CUST056,CREDIT,2023-07-21,ACTIVE
ACC0112,CUST056,CHECKING,2023-08-09,CLOSED
ACC0113,CUST057,CHECKING,2021-12-10,ACTIVE
ACC0114,CUST057,CHECKING,2021-11-03,CLOSED
ACC0115,CUST057,SAVINGS,2021-11-19,CLOSED
ACC0116,CUST058,CHECKING,2021-02-17,CLOSED
ACC0117,CUST058,SAVINGS,2021-04-30,ACTIVE
ACC0118,CUST059,SAVINGS,2022-10-26,ACTIVE
ACC0119,CUST059,SAVINGS,2022-10-03,CLOSED
ACC0120,CUST059,SAVINGS,2022-11-02,ACTIVE
ACC0121,CUST060,CHECKING,2023-01-29,CLOSED
ACC0122,CUST060,SAVINGS,2022-12-29,CLOSED
