transaction_id,account_id,transaction_date,amount,transaction_type,merchant_country
TXN000157,ACC0011,2023-10-23,1799.78,CREDIT,England
TXN000158,ACC0011,2022-07-14,4841.35,CREDIT,Canada
TXN000159,ACC0011,2023-11-10,1068.41,DEBIT,Canada
TXN000160,ACC0011,2022-12-08,1225.41,DEBIT,Singapore
TXN000161,ACC0011,2023-08-02,1033.98,DEBIT,Bangladesh
TXN000162,ACC0011,2022-08-10,4067.13,DEBIT,England
TXN000163,ACC0011,2022-06-01,3945.33,DEBIT,England
TXN000164,ACC0012,2022-06-01,2705.68,DEBIT,Canada
TXN000165,ACC0012,2023-11-26,4333.57,DEBIT,Canada
TXN000166,ACC0012,2023-01-20,3952.02,DEBIT,Bangladesh
TXN000167,ACC0012,2022-12-16,88.75,CREDIT,Canada
TXN000168,ACC0012,2022-05-28,3711.17,DEBIT,UAE
TXN000169,ACC0012,2022-03-25,2386.47,CREDIT,Bangladesh
TXN000170,ACC0012,2023-09-18,554.18,DEBIT,Bangladesh
TXN000171,ACC0012,2022-03-04,3638.94,CREDIT,India
TXN000172,ACC0012,2023-11-08,4820.49,DEBIT,India
TXN000173,ACC0013,2023-03-05,3433.63,CREDIT,
TXN000174,ACC0013,2023-03-23,376.72,DEBIT,England
TXN000175,ACC0013,2023-09-07,750.19,DEBIT,England
TXN000176,ACC0013,2023-09-24,3169.05,CREDIT,India
TXN000177,ACC0013,2023-08-27,2657.48,CREDIT,Bangladesh
TXN000178,ACC0013,2023-09-04,2156.69,DEBIT,Singapore
TXN000179,ACC0013,2023-10-25,3258.07,DEBIT,India
TXN000180,ACC0013,2023-03-31,4441.57,CREDIT,England
TXN000181,ACC0013,2023-04-02,1999.66,DEBIT,England
TXN000182,ACC0013,2023-03-06,1569.49,CREDIT,England
TXN000183,ACC0013,2022-05-29,-1414.27,CREDIT,Canada
TXN000184,ACC0013,2022-03-27,4160.54,DEBIT,India
TXN000185,ACC0013,2022-04-01,3725.5,CREDIT,Singapore
TXN000186,ACC0013,2022-05-06,2786.29,CREDIT,UAE
TXN000187,ACC0013,2022-04-28,2059.94,CREDIT,Singapore
TXN000188,ACC0013,2022-02-14,4842.31,CREDIT,England
TXN000189,ACC0013,2022-04-09,2893.81,DEBIT,USA
TXN000190,ACC0014,2024-04-30,4237.9,CREDIT,Singapore
TXN000191,ACC0014,2025-04-05,1844.13,CREDIT,Bangladesh
TXN000192,ACC0014,2024-05-02,4038.03,DEBIT,Bangladesh
TXN000193,ACC0014,2025-07-18,4149.01,CREDIT,Canada
TXN000194,ACC0014,2024-03-16,1373.62,CREDIT,England
TXN000195,ACC0014,2024-09-07,40.47,DEBIT,Bangladesh
TXN000196,ACC0014,2025-07-18,2009.91,DEBIT,UAE
TXN000197,ACC0014,2025-06-23,4859.33,DEBIT,UAE
TXN000198,ACC0014,2025-03-10,1083.51,CREDIT,India
TXN000199,ACC0014,2024-08-28,795.47,CREDIT,UAE
TXN000200,ACC0014,2024-08-11,3886.41,DEBIT,Canada
TXN000201,ACC0014,2024-02-20,795.48,DEBIT,UAE
TXN000202,ACC0014,2023-12-06,1367.79,CREDIT,India
TXN000203,ACC0014,2025-05-27,2215.8,CREDIT,USA
TXN000204,ACC0014,2025-02-19,577.95,CREDIT,Canada
TXN000205,ACC0014,2024-06-30,3394.31,CREDIT,Bangladesh
TXN000206,ACC0014,2025-07-28,1549.01,DEBIT,India
TXN000207,ACC0014,2025-05-19,283.36,DEBIT,England
TXN000208,ACC0014,2024-04-17,3839.07,CREDIT,England
TXN000209,ACC0014,2024-08-14,608.72,CREDIT,UAE
TXN000210,ACC0015,2024-06-09,654.64,DEBIT,Bangladesh
TXN000211,ACC0015,2025-07-07,4168.44,CREDIT,Canada
TXN000212,ACC0015,2025-01-22,4310.2,DEBIT,India
TXN000213,ACC0015,2024-01-01,2304.17,DEBIT,Singapore
TXN000214,ACC0015,2024-10-28,2883.04,CREDIT,UAE
TXN000215,ACC0015,2025-09-28,2094.29,DEBIT,India
TXN000216,ACC0015,2024-01-03,4831.34,DEBIT,Singapore
TXN000217,ACC0015,2025-09-05,2305.88,CREDIT,Canada
TXN000218,ACC0015,2025-03-04,4223.98,DEBIT,India
TXN000219,ACC0015,2025-08-07,2008.24,DEBIT,India
TXN000220,ACC0015,2024-10-25,3731.57,DEBIT,England
TXN000221,ACC0015,2024-06-02,391.13,DEBIT,Bangladesh
TXN000222,ACC0015,2025-05-18,977.58,CREDIT,England
TXN000223,ACC0015,2025-10-03,4077.03,DEBIT,Canada
TXN000224,ACC0015,2024-05-10,1287.28,DEBIT,Bangladesh
TXN000225,ACC0015,2024-05-17,3803.47,DEBIT,USA
TXN000226,ACC0015,2025-09-16,2475.64,CREDIT,UAE
TXN000227,ACC0015,2025-07-13,3218.53,CREDIT,Singapore
TXN000228,ACC0016,2024-09-17,763.28,DEBIT,India
TXN000229,ACC0016,2025-01-24,3160.61,CREDIT,Bangladesh
TXN000230,ACC0016,2023-12-26,1766.19,DEBIT,England
TXN000231,ACC0016,2025-02-13,2265.05,DEBIT,England
TXN000232,ACC0016,2024-08-18,392.89,DEBIT,Bangladesh
TXN000233,ACC0016,2025-06-29,2540.27,CREDIT,Bangladesh
TXN000234,ACC0016,2025-05-19,4771.62,DEBIT,India
TXN000235,ACC0016,2025-06-06,3262.67,CREDIT,Bangladesh
TXN000236,ACC0016,2025-02-28,2511.82,DEBIT,India
TXN000237,ACC0016,2024-02-12,4056.72,CREDIT,UAE
TXN000238,ACC0016,2024-01-24,2527.7,DEBIT,Canada
TXN000239,ACC0016,2024-07-09,3541.03,CREDIT,Bangladesh
TXN000240,ACC0016,2025-04-17,3052.93,CREDIT,England
TXN000241,ACC0016,2024-08-14,1943.21,CREDIT,UAE
TXN000242,ACC0016,2025-07-03,271.3,CREDIT,Canada
TXN000243,ACC0016,2024-10-01,481.58,CREDIT,England
TXN000244,ACC0016,2024-07-14,3621.43,DEBIT,England
TXN000245,ACC0016,2024-01-21,2917.87,DEBIT,England
TXN000246,ACC0016,2024-09-11,4838.81,CREDIT,USA
TXN000247,ACC0016,2025-06-30,3547.08,DEBIT,England
TXN000248,ACC0016,2025-05-24,1889.63,CREDIT,Singapore
TXN000249,ACC0016,2024-03-08,3353.88,DEBIT,UAE
TXN000250,ACC0016,2025-09-15,2122.8,CREDIT,Canada
TXN000251,ACC0016,2024-11-04,1551.24,DEBIT,England
TXN000252,ACC0016,2025-03-10,968.11,DEBIT,USA
TXN000253,ACC0017,2023-01-13,4223.7,DEBIT,Bangladesh
TXN000254,ACC0017,2023-09-20,4177.25,DEBIT,UAE
TXN000255,ACC0017,2023-02-24,4383.2,DEBIT,Bangladesh
TXN000256,ACC0017,2023-04-06,779.72,DEBIT,Singapore
TXN000257,ACC0017,2023-12-16,4047.13,DEBIT,UAE
TXN000258,ACC0017,2023-06-08,228.03,CREDIT,UAE
TXN000259,ACC0017,2022-11-15,4848.25,CREDIT,Singapore
TXN000260,ACC0018,2022-11-08,2674.72,CREDIT,Singapore
TXN000261,ACC0018,2023-07-07,4520.83,DEBIT,England
TXN000262,ACC0018,2024-02-06,4736.18,CREDIT,India
TXN000263,ACC0018,2022-12-27,3892.84,CREDIT,USA
TXN000264,ACC0018,2022-10-04,4008.28,DEBIT,Singapore
TXN000265,ACC0018,2022-11-25,270.38,CREDIT,Singapore
TXN000266,ACC0018,2023-03-29,2777.16,DEBIT,UAE
TXN000267,ACC0018,2023-08-24,4257.32,CREDIT,Canada
TXN000268,ACC0018,2022-08-25,1371.23,DEBIT,Singapore
TXN000269,ACC0018,2023-06-04,467.65,DEBIT,Singapore
TXN000270,ACC0018,2023-06-18,4424.3,DEBIT,India
TXN000271,ACC0018,2022-05-07,1988.31,CREDIT,USA
TXN000272,ACC0018,2023-04-13,4972.68,CREDIT,USA
TXN000273,ACC0018,2022-04-11,1600.24,DEBIT,Singapore
TXN000274,ACC0018,2024-01-08,1683.1,DEBIT,USA
TXN000275,ACC0018,2022-04-22,1441.53,CREDIT,UAE
TXN000276,ACC0018,2022-08-03,3796.62,CREDIT,India
TXN000277,ACC0018,2023-12-04,36.2,DEBIT,Canada
TXN000278,ACC0018,2022-12-01,1086.12,DEBIT,Bangladesh
TXN000279,ACC0019,2024-06-12,2122.04,CREDIT,USA
TXN000280,ACC0019,2023-10-24,618.02,DEBIT,India
TXN000281,ACC0019,2024-10-04,3971.56,CREDIT,Canada
TXN000282,ACC0019,2023-04-12,4185.07,CREDIT,Bangladesh
TXN000283,ACC0019,2024-06-20,92.01,DEBIT,UAE
TXN000284,ACC0019,2023-05-16,1463.45,DEBIT,Bangladesh
TXN000285,ACC0019,2023-12-16,1210.42,CREDIT,USA
TXN000286,ACC0019,2024-10-30,3344.39,CREDIT,Canada
TXN000287,ACC0019,2024-06-10,2724.97,DEBIT,India
TXN000288,ACC0019,2024-04-14,227.24,CREDIT,England
TXN000289,ACC0019,2023-09-05,3739.11,CREDIT,Singapore
TXN000290,ACC0019,2023-02-27,1730.56,DEBIT,Singapore
TXN000291,ACC0019,2024-08-06,3678.58,CREDIT,USA
TXN000292,ACC0019,2023-02-03,1767.97,CREDIT,Singapore
TXN000293,ACC0019,2024-10-08,883.69,CREDIT,UAE
TXN000294,ACC0019,2024-04-23,3162.36,DEBIT,Canada
TXN000295,ACC0019,2024-04-01,194.55,DEBIT,Canada
TXN000296,ACC0019,2023-07-12,4430.09,CREDIT,England
TXN000297,ACC0019,2024-05-30,1997.14,CREDIT,England
TXN000298,ACC0019,2023-01-26,3768.92,DEBIT,England
TXN000299,ACC0019,2023-12-20,4312.07,DEBIT,Singapore
TXN000300,ACC0019,2024-10-21,1666.3,DEBIT,Singapore
TXN000301,ACC0019,2023-12-31,2190.39,CREDIT,UAE
TXN000302,ACC0019,2024-03-14,4474.24,CREDIT,England
TXN000303,ACC0020,2024-03-26,3463.42,CREDIT,Singapore
TXN000304,ACC0020,2024-04-18,1340.94,DEBIT,UAE
TXN000305,ACC0020,2024-01-12,403.85,DEBIT,Bangladesh
TXN000306,ACC0020,2023-08-31,-4414.42,DEBIT,England
TXN000307,ACC0020,2024-09-10,1485.24,CREDIT,Bangladesh
TXN000308,ACC0020,2024-01-14,841.56,CREDIT,England
TXN000309,ACC0020,2024-02-04,221.35,CREDIT,Bangladesh
TXN000310,ACC0020,2024-01-23,1380.03,DEBIT,Canada
TXN000311,ACC0020,2024-09-21,3191.19,CREDIT,Bangladesh
TXN000312,ACC0020,2024-09-29,808.33,DEBIT,USA
TXN000313,ACC0021,2024-07-04,3908.75,DEBIT,USA
TXN000314,ACC0021,2022-10-17,1187.62,CREDIT,England
TXN000315,ACC0021,2023-09-06,4747.84,DEBIT,Bangladesh
TXN000316,ACC0021,2023-01-14,3398.52,CREDIT,England
TXN000317,ACC0021,2023-11-07,3817.79,DEBIT,Bangladesh
TXN000318,ACC0021,2023-08-20,1996.19,CREDIT,USA
TXN000319,ACC0021,2022-12-04,139.31,DEBIT,India
TXN000320,ACC0021,2024-01-22,1941.07,DEBIT,England
TXN000321,ACC0021,2023-05-03,3523.15,DEBIT,Bangladesh
TXN000322,ACC0021,2023-05-29,3472.96,CREDIT,USA
TXN000323,ACC0021,2022-12-13,687.28,DEBIT,India
TXN000324,ACC0021,2023-02-02,4494.41,CREDIT,Canada
TXN000325,ACC0021,2024-07-08,4838.13,CREDIT,UAE
TXN000326,ACC0021,2023-07-31,3550.61,CREDIT,England
TXN000327,ACC0021,2023-01-18,3561.93,DEBIT,Singapore
TXN000328,ACC0021,2023-08-15,2548.69,DEBIT,USA
TXN000329,ACC0021,2022-12-30,1191.31,CREDIT,Canada
TXN000330,ACC0021,2023-08-14,2774.57,CREDIT,India
TXN000331,ACC0021,2024-02-25,657.56,DEBIT,Canada
TXN000332,ACC0021,2023-06-22,1996.82,CREDIT,Bangladesh
TXN000333,ACC0021,2023-10-04,3848.13,DEBIT,USA
TXN000334,ACC0021,2023-06-30,3215.27,CREDIT,India
TXN000335,ACC0021,2024-07-06,2591.63,DEBIT,Singapore
TXN000336,ACC0021,2024-02-25,3202.57,DEBIT,Singapore
TXN000337,ACC0022,2024-01-08,2519.29,DEBIT,Singapore
TXN000338,ACC0022,2023-02-26,2595.33,CREDIT,USA
TXN000339,ACC0022,2023-04-05,1620.08,DEBIT,England
TXN000340,ACC0022,2024-04-05,4475.68,DEBIT,England
TXN000341,ACC0022,2023-05-11,3178.93,CREDIT,USA
TXN000342,ACC0022,2024-07-23,1521.09,DEBIT,Bangladesh
TXN000343,ACC0022,2024-08-08,851.49,DEBIT,USA
TXN000344,ACC0022,2024-08-26,3126.15,CREDIT,Singapore
TXN000345,ACC0022,2024-05-21,215.56,DEBIT,Canada
TXN000346,ACC0023,2024-06-08,3857.4,CREDIT,UAE
TXN000347,ACC0023,2023-03-25,3837.13,CREDIT,Bangladesh
TXN000348,ACC0023,2024-06-06,161.13,CREDIT,UAE
TXN000349,ACC0023,2023-06-27,-409.25,CREDIT,England
TXN000350,ACC0023,2023-11-29,374.14,DEBIT,USA
TXN000351,ACC0023,2023-11-15,2083.95,CREDIT,USA
TXN000352,ACC0024,2024-06-27,726.91,CREDIT,UAE
TXN000353,ACC0024,2023-10-03,4877.12,DEBIT,Singapore
TXN000354,ACC0024,2023-10-29,2579.75,DEBIT,England
TXN000355,ACC0024,2023-06-19,2337.7,CREDIT,India
TXN000356,ACC0024,2023-06-25,712.98,DEBIT,England
TXN000357,ACC0024,2023-11-12,4322.18,CREDIT,USA
TXN000358,ACC0024,2023-03-27,4069.25,CREDIT,USA
TXN000359,ACC0024,2023-03-27,2496.35,CREDIT,India
TXN000360,ACC0024,2023-08-26,2491.88,DEBIT,India
TXN000361,ACC0024,2024-03-15,2291.58,DEBIT,USA
TXN000362,ACC0024,2024-06-03,1770.95,DEBIT,England
TXN000363,ACC0024,2024-03-04,2991.62,CREDIT,England
TXN000364,ACC0024,2024-04-16,50.81,DEBIT,India
TXN000365,ACC0024,2023-03-01,4413.45,CREDIT,Singapore
TXN000366,ACC0024,2023-12-01,1836.03,CREDIT,Canada
TXN000367,ACC0025,2024-05-16,981.33,CREDIT,Canada
TXN000368,ACC0025,2023-11-18,2526.24,CREDIT,Singapore
TXN000369,ACC0025,2024-07-18,3405.19,DEBIT,USA
TXN000370,ACC0025,2023-01-26,1975.58,CREDIT,Bangladesh
TXN000371,ACC0025,2023-10-28,3777.28,DEBIT,Bangladesh
TXN000372,ACC0025,2024-03-23,2012.92,DEBIT,Canada
TXN000373,ACC0025,2022-11-27,693.81,CREDIT,
TXN000374,ACC0025,2024-02-16,2601.47,DEBIT,Bangladesh
TXN000375,ACC0025,2024-03-29,707.51,CREDIT,USA
TXN000376,ACC0025,2023-11-25,4953.17,CREDIT,Bangladesh
TXN000377,ACC0025,2023-09-28,2541.5,CREDIT,UAE
TXN000378,ACC0025,2024-05-17,1505.95,DEBIT,England
TXN000379,ACC0025,2023-09-23,3372.29,CREDIT,Bangladesh
TXN000380,ACC0025,2023-08-30,3985.81,DEBIT,Bangladesh
TXN000381,ACC0025,2024-02-16,1335.0,DEBIT,UAE
TXN000382,ACC0025,2022-12-10,2921.78,DEBIT,Bangladesh
TXN000383,ACC0025,2024-07-24,3608.7,CREDIT,USA
TXN000384,ACC0025,2024-09-15,1218.56,DEBIT,USA
TXN000385,ACC0025,2022-11-07,2210.78,CREDIT,USA
TXN000386,ACC0025,2023-12-15,3455.6,CREDIT,Bangladesh
TXN000387,ACC0025,2024-07-06,4603.4,DEBIT,UAE
TXN000388,ACC0025,2023-03-09,2598.23,CREDIT,UAE
TXN000389,ACC0025,2024-02-20,2632.13,CREDIT,USA
TXN000390,ACC0026,2024-07-22,1718.21,CREDIT,UAE
TXN000391,ACC0026,2024-12-21,3220.11,CREDIT,Bangladesh
TXN000392,ACC0026,2024-06-02,969.4,DEBIT,England
TXN000393,ACC0026,2024-08-17,1499.51,CREDIT,Singapore
TXN000394,ACC0026,2023-11-15,3527.46,CREDIT,England
TXN000395,ACC0026,2024-05-29,1750.53,CREDIT,England
TXN000396,ACC0026,2023-05-28,2871.65,CREDIT,India
TXN000397,ACC0026,2024-01-12,4773.5,DEBIT,England
TXN000398,ACC0026,2023-03-08,1445.28,DEBIT,England
TXN000399,ACC0026,2024-04-20,3283.3,CREDIT,USA
TXN000400,ACC0026,2023-08-18,4141.48,CREDIT,Bangladesh
TXN000401,ACC0026,2023-10-29,694.99,DEBIT,USA
TXN000402,ACC0026,2023-03-16,3352.47,DEBIT,UAE
TXN000403,ACC0026,2023-09-19,271.93,CREDIT,England
TXN000404,ACC0026,2024-05-21,511.72,DEBIT,Canada
TXN000405,ACC0026,2024-08-09,4889.77,DEBIT,India
TXN000406,ACC0026,2024-11-22,4675.81,CREDIT,India
TXN000407,ACC0026,2024-11-20,1005.29,CREDIT,
TXN000408,ACC0026,2023-11-12,3233.03,DEBIT,UAE
TXN000409,ACC0027,2024-03-09,2680.41,DEBIT,USA
TXN000410,ACC0027,2024-09-15,4412.4,DEBIT,Canada
TXN000411,ACC0027,2024-08-25,3941.92,DEBIT,UAE
TXN000412,ACC0027,2024-05-07,4384.95,DEBIT,England
TXN000413,ACC0027,2025-02-16,3017.89,CREDIT,England
TXN000414,ACC0027,2024-10-23,4945.61,CREDIT,USA
